Date,Price,Open,High,Low,Vol.,Change %
5/22/2022,84.2,80.16,85.33,77.38,89.17K,4.74%
5/15/2022,80.39,87.7,92.75,80.16,114.74K,-9.14%
5/8/2022,88.48,91.37,92.22,81.9,117.22K,-3.34%
5/1/2022,91.54,83.59,92.45,82.44,110.30K,8.40%
4/24/2022,84.45,88.09,88.32,78.8,105.49K,-5.10%
4/17/2022,88.99,80.14,89.89,79.52,86.02K,11.28%
4/10/2022,79.97,79.75,80.25,76.85,62.73K,-0.15%
4/3/2022,80.09,78.22,80.98,76.34,86.68K,2.04%
3/27/2022,78.49,78.7,81.99,75.35,137.92K,-0.14%
3/20/2022,78.6,78.72,81.4,75.85,97.91K,-0.37%
3/13/2022,78.89,76,81.5,75.01,109.52K,2.77%
3/6/2022,76.76,64.29,78,56.5,177.34K,17.91%
2/27/2022,65.1,85.94,86,55,269.72K,-26.14%
2/20/2022,88.14,89.07,95.56,86.15,143.01K,-1.49%
2/13/2022,89.47,93.7,94,85.8,133.53K,-3.66%
2/6/2022,92.87,96.62,98.49,88.5,144.11K,-3.71%
1/30/2022,96.45,89.37,97.5,87.16,130.41K,8.10%
1/23/2022,89.22,84.4,90.63,83.02,124.20K,5.62%
1/16/2022,84.47,82.7,85.97,79,145.20K,2.91%
1/9/2022,82.08,86.12,87,77.55,124.62K,-3.91%
1/2/2022,85.42,79.8,88.55,79.8,77.37K,5.91%
12/26/2021,80.65,75.87,81.25,75.04,34.32K,5.69%
12/19/2021,76.31,74,82.85,73.42,99.41K,3.09%
12/12/2021,74.02,84.8,87.4,73.25,145.20K,-12.27%
12/5/2021,84.37,79.14,91.19,78.74,121.60K,7.29%
11/28/2021,78.64,74.2,80.8,73.54,67.07K,7.55%
11/21/2021,73.12,70.09,75.37,69.1,53.79K,4.98%
11/14/2021,69.65,63.94,70.1,63.94,44.17K,9.55%
11/7/2021,63.58,60.27,64.81,60.16,36.10K,6.45%
10/31/2021,59.73,59.41,61.76,57,40.67K,1.10%
10/24/2021,59.08,59.51,60.54,58.32,25.28K,0.75%
10/17/2021,58.64,58.93,60.53,54.45,36.25K,-1.92%
10/10/2021,59.79,58.67,62.19,58.49,24.82K,1.75%
10/3/2021,58.76,63.27,65.8,58.2,42.36K,-5.91%
9/26/2021,62.45,64.25,66,60.73,29.91K,-1.33%
9/19/2021,63.29,59.59,64.5,58.88,27.78K,5.80%
9/12/2021,59.82,61.23,62.99,58.64,29.58K,-2.29%
9/5/2021,61.22,62.48,63.61,60.95,17.86K,-0.67%
8/29/2021,61.63,60.31,62.75,59.89,20.19K,3.89%
8/22/2021,59.32,55.53,60.25,55.26,20.17K,8.41%
8/15/2021,54.72,55.5,58.6,52.86,21.69K,-1.83%
8/8/2021,55.74,56.9,58.53,55.58,9.70K,-2.24%
8/1/2021,57.02,53.47,57.3,53.46,8.08K,6.20%
7/25/2021,53.69,51.1,54.69,50.96,8.29K,4.74%
7/18/2021,51.26,53,54.35,50.37,21.88K,-3.79%
7/11/2021,53.28,54.22,55.88,51.7,12.21K,-2.54%
7/4/2021,54.67,58.02,58.69,51.32,14.17K,-5.35%
6/27/2021,57.76,55.89,59,55.05,18.74K,4.11%
6/20/2021,55.48,52.16,56.16,51.99,28.36K,6.16%
6/13/2021,52.26,53.43,54.36,50.76,13.25K,-1.53%
6/6/2021,53.07,49.83,54.6,49.83,11.14K,5.15%
5/30/2021,50.47,52.38,53.7,49.8,12.06K,-2.15%
5/23/2021,51.58,52.2,55.23,50.78,16.28K,-1.62%
5/16/2021,52.43,57.02,57.37,49.3,39.43K,-8.39%
5/9/2021,57.23,51.5,57.48,51.5,24.94K,12.37%
5/2/2021,50.93,49.59,51.58,48.87,20.29K,3.29%
4/25/2021,49.31,47.39,49.83,46.84,20.90K,4.07%
4/18/2021,47.38,44.9,47.67,44.29,10.84K,5.76%
4/11/2021,44.8,44.23,45.18,43.86,12.07K,1.75%
4/4/2021,44.03,43.2,44.72,43.13,6.55K,2.85%
3/28/2021,42.81,41.84,43.16,41.19,6.83K,1.71%
3/21/2021,42.09,42.1,43.35,40,13.09K,-0.52%
3/14/2021,42.31,42.44,44.07,41.6,37.41K,-2.04%
3/7/2021,43.19,39.76,43.22,38.67,24.72K,9.73%
2/28/2021,39.36,38.16,39.45,37.03,12.52K,4.68%
2/21/2021,37.6,37.73,39.83,36.8,9.20K,-0.27%
2/14/2021,37.7,40.18,40.88,37.68,19.69K,-6.41%
2/7/2021,40.28,39.39,40.5,37.4,27.72K,4.81%
1/31/2021,38.43,33.19,38.9,32.85,6.70K,15.82%
1/24/2021,33.18,34.77,34.84,32.48,6.04K,-3.69%
1/17/2021,34.45,31.83,34.45,31.56,5.28K,7.79%
1/10/2021,31.96,35.29,35.59,31.89,7.78K,-9.05%
1/3/2021,35.14,33.14,35.35,32.96,5.73K,6.68%
12/27/2020,32.94,32.7,33.61,32.33,1.92K,1.64%
12/20/2020,32.41,30.86,32.61,29.98,2.38K,3.35%
12/13/2020,31.36,30.83,32.7,30.83,12.06K,1.23%
12/6/2020,30.98,30.31,31.77,29.91,26.64K,1.34%
11/29/2020,30.57,28.58,30.75,28.53,10.34K,6.93%
11/22/2020,28.59,27.66,29.1,27.36,24.08K,5.30%
11/15/2020,27.15,27,28.2,26.7,11.22K,1.76%
11/8/2020,26.68,26.47,27.42,25.83,6.43K,3.21%
11/1/2020,25.85,24,26.59,23.3,6.53K,6.86%
10/25/2020,24.19,25.37,25.37,23.4,7.41K,-6.89%
10/18/2020,25.98,25.35,26.05,23.64,10.17K,2.28%
10/11/2020,25.4,26.05,26.4,25.17,11.39K,-3.20%
10/4/2020,26.24,27.4,28.17,26.07,4.85K,-4.89%
9/27/2020,27.59,27,28.27,26.65,8.76K,3.14%
9/20/2020,26.75,28.47,28.47,26.49,11.34K,-6.73%
9/13/2020,28.68,29.35,31.4,28.71,9.77K,-1.07%
9/6/2020,28.99,28.27,29.19,27.04,3.69K,3.06%
8/30/2020,28.13,30.43,30.43,28.06,5.41K,-7.41%
8/23/2020,30.38,27.5,30.69,27.43,9.67K,14.73%
8/16/2020,26.48,26.5,27.66,25.95,10.00K,0.46%
8/9/2020,26.36,27.96,27.96,25.94,9.13K,-3.51%
8/2/2020,27.32,27.45,28.27,26.5,4.11K,0.37%
7/26/2020,27.22,27,27.69,25.8,8.09K,-0.18%
7/19/2020,27.27,27.8,28.26,26.8,11.24K,-5.18%
7/12/2020,28.76,30.11,31.35,27.74,9.29K,-3.43%
7/5/2020,29.78,29.45,30.52,28.61,1.43K,3.98%
6/28/2020,28.64,25.59,28.8,25.5,3.50K,12.49%
6/21/2020,25.46,24.56,26.42,24.56,4.58K,2.17%
6/14/2020,24.92,22.44,25.3,22.43,1.54K,9.39%
6/7/2020,22.78,23.52,23.63,22.66,1.15K,-5.16%
5/31/2020,24.02,22.07,23.91,21.74,2.51K,8.30%
5/24/2020,22.18,22.24,22.95,21.7,5.34K,-0.05%
5/17/2020,22.19,20.3,22.27,20.2,8.28K,11.17%
5/10/2020,19.96,19.88,20,19.2,3.27K,-1.04%
5/3/2020,20.17,19.81,20.5,19.59,2.69K,1.87%
4/26/2020,19.8,21.74,21.74,19.85,3.37K,-8.04%
4/19/2020,21.53,22.2,22.28,20.28,5.82K,-4.23%
4/12/2020,22.48,21.22,23,19.74,4.53K,2.84%
4/5/2020,21.86,19.2,22.49,19.2,1.47K,16.71%
3/29/2020,18.73,17.22,19.12,17.22,0.71K,9.47%
3/22/2020,17.11,15.6,18.29,15.15,11.84K,1.60%
3/15/2020,16.84,22,22,16.01,19.87K,-24.75%
3/8/2020,22.38,23.57,24.39,22.4,3.51K,-6.08%
