date,carbon_price,carbon_price_change_pct,gas_price_weekly,gas_price_lag1,vix,co2_ppm,co2_change,days_to_next_cop,is_cop_week,regime,recent_volatility,momentum_4w,momentum_12w,gas_price_volatility,cop_urgency
2021-08-29,61.63,3.894133513149023,4.07,3.9,17.277999877929688,413.19,-0.1450010875081564,64,0,2,4.669539627995495,8.084882497369339,16.12964009798379,4.045608954165162,0.0
2021-09-05,61.22,-0.6652604251176419,4.49,4.07,16.320000076293944,413.33,0.0338827173939293,57,0,2,4.62771087716077,9.8313598851812,17.145044010715658,6.639957572738374,0.05
2021-09-12,59.82,-2.2868343678536407,4.87,4.49,18.962499618530277,413.06,-0.0653231074444149,50,0,2,4.481836162532739,9.32017543859649,7.822638788752712,6.77060356313766,0.16666666666666666
2021-09-19,63.29,5.800735539953195,5.42,4.87,19.302000045776367,413.27,0.0508400716602963,43,0,2,4.62248369888378,6.692515171948754,9.574099722991702,3.066851057944449,0.2833333333333333
2021-09-26,62.45,-1.327223890030016,5.03,5.42,21.463999938964843,413.33,0.0145183536186976,36,0,2,4.263018815622376,1.3305208502352839,14.23083958295226,8.69017463059523,0.4
2021-10-03,58.76,-5.908726981585277,5.68,5.03,21.76199989318848,413.61,0.0677424817942196,29,0,2,4.626654723364744,-4.018294674942835,10.285285285285273,9.2300852007886,0.5166666666666667
2021-10-10,59.79,1.7528931245745394,5.87,5.68,20.713999938964843,413.86,0.0604434128768538,22,0,2,4.384346110589271,-0.05015045135406959,16.640655481857202,9.198054901122774,0.6333333333333333
2021-10-17,58.64,-1.9233985616323723,5.54,5.87,18.32999992370605,414.32,0.1111486976272058,15,0,2,4.341525770538972,-7.347132248380472,9.219593965356676,9.284120169814255,0.75
2021-10-24,59.08,0.7503410641200414,4.95,5.54,15.58799991607666,413.87,-0.1086117011005916,8,0,2,3.9991345350988183,-5.396317053642918,3.612767450017529,10.379514353663707,0.8666666666666667
2021-10-31,59.73,1.1002031144211166,5.68,4.95,16.197999954223633,414.14,0.0652378766279326,1,1,2,3.9161596087129253,1.6507828454731088,7.158234660925711,11.148571296895012,0.9833333333333333
2021-11-07,63.58,6.44567219152854,5.48,5.68,15.892000007629395,414.93,0.1907567489254802,365,0,2,4.161321399811105,6.338852650944982,16.191520467836252,11.083711697281151,0.0
2021-11-14,69.65,9.547027367096582,4.99,5.48,17.536000061035157,414.84,-0.021690405610597,358,0,2,4.346396286252384,18.775579809004107,17.414025623735686,11.629899477788303,0.0
2021-11-21,73.12,4.982053122756636,4.91,4.99,17.094000244140624,415.33,0.1181178285604156,351,0,2,4.41326221523234,23.76438727149628,18.643517767321114,10.202823271715168,0.0
2021-11-28,78.64,7.549234135667393,4.9,4.91,21.4375,416.12,0.1902101943033196,344,0,2,4.6725624086003075,31.659132764105145,28.454753348578897,3.832187911622558,0.0
2021-12-05,84.37,7.286368260427278,4.32,4.9,27.978000259399412,415.83,-0.069691435162944,337,0,2,4.65278718250683,32.69896193771626,41.0397860247409,5.631737239965271,0.0
2021-12-12,74.02,-12.26739362332584,3.68,4.32,21.84799995422363,416.41,0.139480075992604,330,0,2,6.298219737101922,6.274228284278527,16.95370516669299,7.296764864314896,0.0
2021-12-19,76.31,3.0937584436638854,3.78,3.68,20.72599983215332,417.45,0.2497538483705819,323,0,2,6.2469697880637955,4.362691466083146,22.1937550040032,8.589801750982506,0.0
2021-12-26,80.65,5.687328004193426,3.85,3.78,20.117499828338623,417.42,-0.007186489399924,316,0,2,5.816828434028013,2.5559511698880932,37.25323349217155,9.101163543403283,0.0
2022-01-02,85.42,5.914445133292001,3.57,3.85,17.344000244140624,417.37,-0.011978343155572,309,0,2,5.870343633758896,1.2445181936707295,42.86670011707643,8.295825685265095,0.0
2022-01-09,82.08,-3.9100913135097226,3.8,3.57,18.322000122070317,418.28,0.2180319620480597,302,0,2,6.052557316927607,10.888948932720899,39.97271487039562,5.822878085854139,0.0
2022-01-16,84.47,2.911793372319682,4.42,3.8,18.98600006103516,417.58,-0.1673520130056394,295,0,2,6.011057833527063,10.693225003276098,42.97562626946514,9.813027955114123,0.0
2022-01-23,89.22,5.623298212383099,4.5,4.42,25.270000457763672,419.09,0.3616073566741651,288,0,2,6.009570180615955,10.626162430254183,49.37217478653943,9.816582744295726,0.0
2022-01-30,96.45,8.103564223268322,4.6,4.5,30.23399963378906,419.15,0.0143167338757743,281,0,2,6.100018206132195,12.912666822758133,51.69864737338787,6.745188106939011,0.0
2022-02-06,92.87,-3.711767755313633,5.78,4.6,23.289999771118165,418.34,-0.1932482404866986,274,0,2,6.147265581126753,13.145711500974677,33.3381191672649,11.596694818408448,0.0
2022-02-13,89.47,-3.661031549477767,4.19,5.78,23.1060001373291,419.74,0.3346560214180005,267,0,2,6.346572974492184,5.919261276192733,22.3605032822757,21.76993852102147,0.0
2022-02-20,88.14,-1.4865317983681623,4.39,4.19,26.836000442504883,419.57,-0.040501262686432,260,0,2,6.146307479192528,-1.2104909213180859,12.080366225839278,21.877537074972373,0.0
2022-02-27,65.1,-26.140231449965967,4.62,4.39,29.43499994277954,419.16,-0.0977190933574734,253,0,2,9.668757073520762,-32.503888024883366,-22.839871992414373,21.972429814954364,0.0
2022-03-06,76.76,17.91090629800309,4.57,4.62,31.333999633789062,418.47,-0.1646149441740574,246,0,2,10.542360137597202,-17.346828900613765,3.701702242637128,15.51172149944061,0.0
2022-03-13,78.89,2.774882751433028,4.7,4.57,33.002000427246095,418.3,-0.0406241785552152,239,0,2,10.536621747005647,-11.82519280205655,3.380946140741714,2.8771889451841908,0.0
2022-03-20,78.6,-0.3676004563316071,4.68,4.7,27.562000274658203,418.13,-0.0406406885010812,232,0,2,10.427528643916595,-10.82368958475154,-2.5418474891506615,2.948573672258431,0.0
2022-03-27,78.49,-0.1399491094147609,5.14,4.68,22.504000091552733,420.32,0.5237605529380795,225,0,2,10.278170708429396,20.568356374807983,-8.112854132521663,4.996175666863674,0.0
2022-04-03,80.09,2.038476239011344,5.41,5.14,19.609999465942384,420.15,-0.0404453749524247,218,0,2,10.224930881399148,4.338196977592501,-2.4244639376218236,4.316812885109645,0.0
2022-04-10,79.97,-0.1498314396304212,6.08,5.41,20.881999969482425,420.11,-0.0095204093775946,211,0,2,10.19256241092097,1.3689948028901,-5.327335148573454,5.626040376747512,0.0
2022-04-17,88.99,11.27922971114168,6.64,6.08,23.287500381469727,420.33,0.0523672371521621,204,0,2,10.595696875121828,13.218829516539433,-0.25778973324367405,2.9502749609205505,0.0
2022-04-24,84.45,-5.101696819867396,7.1,6.64,22.95,420.14,-0.0452025789260845,197,0,2,10.422792357783916,7.593323990317247,-12.441679626749613,3.087449156413823,0.0
2022-05-01,91.54,8.395500296033154,6.81,7.1,31.10600051879883,420.13,-0.0023801589946192,190,0,2,10.673260452482355,14.296416531402167,-1.4321094002368917,7.154926074518984,0.0
2022-05-08,88.48,-3.342800961328385,8.04,6.81,29.68000030517578,421.07,0.2237402708685332,183,0,2,10.662518184556404,10.641490558959621,-1.1065161506650267,9.110430778474916,0.0
2022-05-15,80.39,-9.143309222423143,7.47,8.04,32.18800086975098,420.92,-0.0356235305293606,176,0,2,11.013723450041613,-9.664007191819302,-8.792829589289763,11.452021496892641,0.0
2022-05-22,84.2,4.739395447194927,8.21,7.47,28.66199989318848,421.44,0.1235389147581367,169,0,2,7.4115023744789585,-0.2960331557134377,29.339477726574525,11.843349895260777,0.0
2022-05-29,86.87,3.1710213776722007,8.79,8.21,27.90400009155273,421.58,0.0332194381169381,162,0,2,5.611383862172291,-5.101594931177633,13.170922355393433,10.47737245465769,0.0
2022-06-05,81.86,-5.767238402210206,8.54,8.79,25.347500324249268,421.26,-0.0759049290763314,155,0,2,5.923713681646361,-7.481916817359857,3.764735707947775,8.041829531480488,0.0
2022-06-12,82.37,0.6230149034937682,8.95,8.54,25.37799987792969,420.98,-0.0664672648720388,148,0,2,5.9179160919032325,2.4629929095658643,4.7964376590330815,5.465552016077872,0.0
2022-06-19,83.43,1.286876289911376,7.93,8.95,32.081999969482425,420.82,-0.0380065561309428,141,0,2,5.917123940548763,-0.9144893111638908,6.293795387947521,8.357016081174308,0.0
