date,carbon_price,carbon_price_change_pct,gas_price_weekly,gas_price_lag1,vix,co2_ppm,co2_change,days_to_next_cop,is_cop_week
2017-12-03,7.58,-6.7650676506765155,2.94,3.05,10.661999893188476,406.94,0.10331595001475957,364,0
2017-12-10,7.65,0.923482849604218,2.84,2.94,10.754000091552735,406.74,-0.049147294441442835,357,0
2017-12-17,8.62,12.67973856209148,2.77,2.84,9.870000076293945,406.99,0.06146432610512065,350,0
2017-12-24,8.6,-0.23201856148491462,2.69,2.77,9.759999847412109,407.41,0.10319663873805673,343,0
2017-12-31,8.19,-4.767441860465116,3.03,2.69,10.485000133514404,407.57,0.03927247735695527,336,0
2018-01-07,8.26,0.8547008547008517,5.71,3.03,9.34000015258789,408.33,0.1864710356503263,329,0
2018-01-14,9.25,11.985472154963684,3.24,5.71,9.892000007629395,408.08,-0.06122498959175715,322,0
2018-01-21,9.67,4.540540540540539,4.12,3.24,11.765000104904175,408.47,0.09556949617723909,315,0
2018-01-28,9.53,-1.4477766287487093,3.43,4.12,11.252000045776366,408.07,-0.09792640830417199,308,0
2018-02-04,9.79,2.728226652675758,3.3,3.43,14.589999961853028,408.4,0.08086847844732681,301,0
2018-02-11,10.13,3.472931562819226,2.75,3.3,31.509999465942382,408.56,0.03917727717923647,294,0
2018-02-18,10.43,2.9615004935834133,2.54,2.75,21.68599967956543,408.65,0.022028588212252842,287,0
2018-02-25,10.77,3.259827420901251,2.62,2.54,18.957499980926514,409.09,0.10767160161506695,280,0
2018-03-04,11.79,9.47075208913648,2.64,2.62,19.260000038146973,410.03,0.2297782883961874,273,0
2018-03-11,11.73,-0.5089058524172962,2.74,2.64,17.206000328063965,408.91,-0.27315074506741865,266,0
2018-03-18,13.23,12.78772378516624,2.71,2.74,16.35,409.32,0.10026656232422493,259,0
2018-03-25,14.04,6.122448979591821,2.66,2.71,20.658000564575197,410.22,0.21987686895339476,252,0
2018-04-01,13.76,-1.9943019943019946,2.67,2.66,21.59250020980835,409.39,-0.20233045682804818,245,0
2018-04-08,14.84,7.848837209302317,2.79,2.67,21.042000198364256,409.65,0.06350912332981906,238,0
2018-04-15,14.02,-5.525606469002698,2.78,2.79,19.67599983215332,411.25,0.39057732210423524,231,0
2018-04-22,14.58,3.9942938659058624,2.83,2.78,16.049999809265138,411.88,0.15319148936170368,224,0
2018-04-29,14.04,-3.703703703703709,2.8,2.83,16.770000076293947,409.86,-0.4904341070214535,217,0
2018-05-06,15.68,11.680911680911677,2.75,2.8,15.61200008392334,411.25,0.3391401942126615,210,0
2018-05-13,16.38,4.464285714285721,2.76,2.75,13.751999855041504,412.07,0.19939209726442808,203,0
2018-05-20,17.17,4.82295482295485,2.8,2.76,13.566000175476074,411.65,-0.10192443031523668,196,0
2018-05-27,16.55,-3.6109493302271423,2.83,2.8,12.926000022888184,411.61,-0.009716992590780293,189,0
2018-06-03,17.2,3.92749244712991,2.88,2.83,15.212500095367432,411.14,-0.11418575836350531,182,0
2018-06-10,15.98,-7.0930232558139465,2.92,2.88,12.218000030517578,411.36,0.053509753368685686,175,0
2018-06-17,16.61,3.942428035043788,2.99,2.92,12.345999908447265,410.56,-0.194476857253989,168,0
2018-06-24,16.51,-0.6020469596628386,2.99,2.99,13.372000312805175,410.76,0.04871395167576065,161,0
2018-07-01,17.28,4.663840096910965,2.98,2.99,16.820000076293944,409.6,-0.2824033498880052,154,0
2018-07-08,17.69,2.372685185185186,2.91,2.98,15.019999980926514,409.35,-0.06103515625,147,0
2018-07-15,18.77,6.105144149236841,2.89,2.91,12.744000053405761,408.74,-0.14901673384634107,140,0
2018-07-22,19.09,1.7048481619605704,2.78,2.89,12.544000053405762,408.48,-0.06361011890199109,133,0
2018-07-29,19.53,2.3048716605552633,2.79,2.78,12.497999954223634,407.65,-0.2031923227575505,126,0
2018-08-05,19.73,1.024065540194563,2.8,2.79,12.813999938964844,407.42,-0.056420949343793936,119,0
2018-08-12,20.04,1.5712113532691196,2.96,2.8,11.496000289916992,407.26,-0.039271513425953586,112,0
2018-08-19,22.83,13.922155688622762,3.0,2.96,13.764000129699706,407.03,-0.056474979128817715,105,0
2018-08-26,23.2,1.620674551029344,3.01,3.0,12.399999809265136,406.3,-0.1793479596098435,98,0
2018-09-02,25.33,9.181034482758621,2.97,3.01,12.65999984741211,405.68,-0.15259660349495885,91,0
2018-09-09,22.42,-11.488353730754032,2.94,2.97,14.149999856948853,405.58,-0.024649970420043132,84,0
2018-09-16,24.88,10.972346119536125,2.93,2.94,12.992000007629395,405.88,0.07396814438582755,77,0
2018-09-23,24.63,-1.0048231511254002,3.03,2.93,12.34000015258789,405.73,-0.036956735981075184,70,0
2018-09-30,26.1,5.9683313032886876,3.06,3.03,12.407999992370605,405.69,-0.009858773075699379,63,0
2018-10-07,24.21,-7.241379310344831,3.23,3.06,12.939999961853028,405.77,0.019719490251168814,56,0
2018-10-14,22.64,-6.484923585295332,3.3,3.23,20.17799949645996,406.2,0.1059713630874759,49,0
2018-10-21,20.59,-9.054770318021198,3.26,3.3,19.253999710083008,406.81,0.1501723289020207,42,0
2018-10-28,19.18,-6.847984458474987,3.32,3.26,22.791999435424806,406.67,-0.03441409994837663,35,0
2018-11-04,21.65,12.877997914494266,3.28,3.32,21.626000213623048,407.18,0.12540880812452748,28,0
2018-11-11,21.31,-1.5704387990762125,3.58,3.28,18.061999893188478,408.94,0.43224126921754813,21,0
2018-11-18,22.4,5.114969497888322,4.23,3.58,19.96800003051758,408.78,-0.039125544089602116,14,0
2018-11-25,22.7,1.3392857142857206,4.67,4.23,21.22499990463257,408.58,-0.04892607270413629,7,1
2018-12-02,22.6,-0.4405286343612258,4.43,4.67,18.654000091552735,408.69,0.026922512115135078,0,1
2018-12-09,25.76,13.982300884955755,4.49,4.43,20.40000009536743,409.6,0.2226626538452292,358,0
2018-12-16,26.97,4.69720496894408,4.38,4.49,21.62799949645996,409.51,-0.02197265625000222,351,0
