date,gas_price_weekly,gas_price_lag1,gas_price_volatility,vix,co2_change,days_to_next_cop,cop_urgency,is_cop_week,recent_volatility,momentum_4w,momentum_12w,regime
2016-01-24,-0.6649852524339068,-0.5864626683946024,0.9335229888412439,0.9585620622423335,0.7904642262423759,0.47562420191195637,-0.3621950478494146,-0.14110813025753954,-0.7814889379844429,-2.451884803442968,-1.8011796038984038,-1.2760694125935004
2016-01-31,-0.6517766608801118,-0.665733357220046,-0.3387105758939556,0.5279983233756753,2.1452329799348964,0.429016467571369,-0.3621950478494146,-0.14110813025753954,-0.6842335422080945,-2.343934712920715,-2.093754202224831,-1.2760694125935004
2016-02-07,-0.7244239144259852,-0.6525215757491387,-0.4739852812742039,0.43221247470712704,-1.263783163601843,0.3824087332307816,-0.3621950478494146,-0.14110813025753954,-0.6868199752672455,-2.2642389731647583,-2.42693747506375,-1.2760694125935004
2016-02-14,-0.6914024355414972,-0.7251863738391291,-0.3765743226957929,1.0673666182881365,-0.27019489653160833,0.3358009988901942,-0.3621950478494146,-0.14110813025753954,-0.6273595483521061,-1.7788934128586307,-2.392998734404086,-1.2760694125935004
2016-02-21,-0.8366969426332438,-0.6921569201618607,-0.21120222421756082,0.4836805190851096,1.0839333434730956,0.2891932645496068,-0.3621950478494146,-0.14110813025753954,-0.6799429562245557,-1.6979641321579062,-2.4713307602593226,-1.2760694125935004
2016-02-28,-0.9159484919560146,-0.8374865163418412,-0.2580140012811866,0.19396224672025142,-0.6117032835726514,0.24258553020901943,-0.3621950478494146,-0.14110813025753954,-0.6468379001600154,-1.163612090742228,-2.3460159937176877,-1.2760694125935004
2016-03-06,-1.0810558863784538,-0.9167572051672851,-0.1065927703042142,-0.10553681732697871,-0.16121182375224116,0.19597779586843203,-0.3621950478494146,-0.14110813025753954,-0.5923486309419551,-0.33958683280557506,-2.3051686404936023,-1.2760694125935004
2016-03-13,-1.0348258159401709,-1.0819044735536265,-0.02149107904736896,-0.10526704355513834,1.160756561890361,0.14937006152784463,-0.3621950478494146,-0.14110813025753954,-0.6951194041907506,-0.5821005363600167,-2.384428857234021,-1.2760694125935004
2016-03-20,-0.9357613792867073,-1.035663238405451,0.19911138146621074,-0.42095533869544705,1.298061260160922,0.10276232718725725,-0.3621950478494146,-0.14110813025753954,-0.7673382530224908,-0.4593522618696393,-2.4499086109822255,-1.2760694125935004
2016-03-27,-0.9357613792867073,-0.9365748773736461,0.15725819100281457,-0.5601819953085221,-0.39317272646138346,0.056154592846669855,-0.3621950478494146,-0.14110813025753954,-0.4771904859718508,0.18685323432919854,-1.9142059533593585,-1.2760694125935004
2016-04-03,-0.8895313088484244,-0.9365748773736461,-0.3917564027591749,-0.6243989089620419,1.6987206760575961,0.00954685850608246,-0.3621950478494146,-0.14110813025753954,-0.5194417344668748,0.5025472569944894,-1.3426912167463256,-1.2760694125935004
2016-04-10,-0.8234883510794487,-0.8903336422254704,-0.38866754907344264,-0.4765380763927704,3.2236488147836755,-0.03706087583450493,-0.3621950478494146,-0.14110813025753954,-0.5592374206140308,0.6974191106969726,-1.0716638232408575,-1.2760694125935004
2016-04-17,-0.8631141257408341,-0.824274734870934,-0.38484665301787346,-0.5537062925785103,-2.020258499272705,-0.08366861017509232,-0.3621950478494146,-0.14110813025753954,-0.24840991801911375,1.7216227527740093,-0.4677202640018778,-1.2760694125935004
2016-04-24,-0.8565098299639365,-0.8639100792836559,-0.3904839507201388,-0.6953613248493647,0.3330295023068655,-0.1302763445156797,-0.3621950478494146,-0.14110813025753954,-0.5295595975525966,1.4218657486057573,0.1646889413487311,-1.2760694125935004
2016-05-01,-0.849905534187039,-0.8573041885482022,-0.41717694319441323,-0.5418342652573083,-0.3298944640158656,-0.1768840788562671,-0.3621950478494146,-0.14110813025753954,-0.8097517438499677,0.46040547115327757,0.38732834974090585,-1.2760694125935004
2016-05-08,-0.8234883510794487,-0.8506982978127485,-0.5322911543186715,-0.42770081519729947,0.42544491273205065,-0.2234918131968545,-0.3621950478494146,-0.14110813025753954,-0.8029227930261927,0.345362034613633,0.2656154992004878,-1.2760694125935004
2016-05-15,-0.7970711679718584,-0.824274734870934,-0.6482162376958257,-0.5523572435956512,-0.9306020508635727,-0.2700995475374419,-0.3621950478494146,-0.14110813025753954,-0.9129212617389041,-0.23719685079557806,0.5684550498912925,-1.2760694125935004
2016-05-22,-0.8697184215177317,-0.7978511719291193,-0.40510864035530103,-0.40692476095220803,1.5055834089164124,-0.31670728187802927,-0.3621950478494146,-0.14110813025753954,-0.9558925460943672,-0.42740655292047025,0.7118994546510721,-1.2760694125935004
2016-05-29,-0.9027399004022194,-0.8705159700191095,-0.39342708202182913,-0.5968773782150977,-1.4066549346093953,-0.36331501621861667,-0.3621950478494146,-0.14110813025753954,-0.9038357264035861,-0.10817023330008119,0.5484508982071054,-1.2760694125935004
2016-06-05,-0.6980067313183949,-0.9035454236963777,0.16358676616111076,-0.6326958548374618,-0.9931526279028983,-0.4099227505592041,-0.3621950478494146,-0.14110813025753954,-0.928849794011473,-0.0791927428184331,0.6187088873372684,-1.2760694125935004
2016-06-12,-0.5593165200035459,-0.6987628108973145,0.21447513963482956,-0.5224072857270267,0.4726115899270265,-0.4565304848997915,-0.3621950478494146,-0.14110813025753954,-0.7863254692089582,-0.6327012183578459,0.44214784421592995,-1.2760694125935004
